v2_campaigns_campaignId_stats_orders.yaml	RESPONSE	status	object	
v2_campaigns_campaignId_stats_orders.yaml	RESPONSE	result	object	
v2_campaigns_campaignId_stats_orders.yaml	RESPONSE	result.orders[]	array<object>	Список заказов.
v2_campaigns_campaignId_stats_orders.yaml	RESPONSE	result.orders[].id	integer	Идентификатор заказа.
v2_campaigns_campaignId_stats_orders.yaml	RESPONSE	result.orders[].creationDate	string	Дата создания заказа.  Формат даты: `ГГГГ-ММ-ДД`. 
v2_campaigns_campaignId_stats_orders.yaml	RESPONSE	result.orders[].statusUpdateDate	string	Дата и время, когда статус заказа был изменен в последний раз.  Формат даты и вр
v2_campaigns_campaignId_stats_orders.yaml	RESPONSE	result.orders[].status	object	
v2_campaigns_campaignId_stats_orders.yaml	RESPONSE	result.orders[].partnerOrderId	string	Идентификатор заказа в информационной системе магазина.
v2_campaigns_campaignId_stats_orders.yaml	RESPONSE	result.orders[].paymentType	object	Тип оплаты заказа.
v2_campaigns_campaignId_stats_orders.yaml	RESPONSE	result.orders[].fake	boolean	Тип заказа:  * `false` — настоящий заказ покупателя.  * `true` — [тестовый заказ
v2_campaigns_campaignId_stats_orders.yaml	RESPONSE	result.orders[].deliveryRegion	object	
v2_campaigns_campaignId_stats_orders.yaml	RESPONSE	result.orders[].deliveryRegion.id	integer	Идентификатор региона доставки.
v2_campaigns_campaignId_stats_orders.yaml	RESPONSE	result.orders[].deliveryRegion.name	string	Название региона доставки.
v2_campaigns_campaignId_stats_orders.yaml	RESPONSE	result.orders[].items[]	array<object>	Список товаров в заказе после возможных изменений.  Информация о доставке заказа
v2_campaigns_campaignId_stats_orders.yaml	RESPONSE	result.orders[].items[].offerName	string	Название товара.
v2_campaigns_campaignId_stats_orders.yaml	RESPONSE	result.orders[].items[].marketSku	object	
v2_campaigns_campaignId_stats_orders.yaml	RESPONSE	result.orders[].items[].shopSku	object	
v2_campaigns_campaignId_stats_orders.yaml	RESPONSE	result.orders[].items[].count	integer	Количество единиц товара с учетом удаленных единиц.  Если из заказа удалены все 
v2_campaigns_campaignId_stats_orders.yaml	RESPONSE	result.orders[].items[].prices[]	array<object>	Цена или скидки на товар.
v2_campaigns_campaignId_stats_orders.yaml	RESPONSE	result.orders[].items[].warehouse	object	Информация о складе, на котором хранится товар.
v2_campaigns_campaignId_stats_orders.yaml	RESPONSE	result.orders[].items[].details[]	array<object>	Информация об удалении товара из заказа.
v2_campaigns_campaignId_stats_orders.yaml	RESPONSE	result.orders[].items[].cisList[]	array<string>	Список кодов идентификации товара в системе [«Честный ЗНАК»](https://честныйзнак
v2_campaigns_campaignId_stats_orders.yaml	RESPONSE	result.orders[].items[].initialCount	integer	Первоначальное количество единиц товара.
v2_campaigns_campaignId_stats_orders.yaml	RESPONSE	result.orders[].items[].bidFee	integer	Списанная ставка ближайшего конкурента.  Указывается в процентах от стоимости то
v2_campaigns_campaignId_stats_orders.yaml	RESPONSE	result.orders[].items[].cofinanceThreshold	number	Порог для скидок с Маркетом на момент оформления заказа. [Что это такое?](https:
v2_campaigns_campaignId_stats_orders.yaml	RESPONSE	result.orders[].items[].cofinanceValue	number	Скидка с Маркетом. [Что это такое?](https://yandex.ru/support/marketplace/market
v2_campaigns_campaignId_stats_orders.yaml	RESPONSE	result.orders[].initialItems[]	array<object>	Список товаров в заказе.  Возвращается, только если было изменение количества то
v2_campaigns_campaignId_stats_orders.yaml	RESPONSE	result.orders[].initialItems[].offerName	string	Название товара.
v2_campaigns_campaignId_stats_orders.yaml	RESPONSE	result.orders[].initialItems[].marketSku	object	
v2_campaigns_campaignId_stats_orders.yaml	RESPONSE	result.orders[].initialItems[].shopSku	object	
v2_campaigns_campaignId_stats_orders.yaml	RESPONSE	result.orders[].initialItems[].count	integer	Количество единиц товара с учетом удаленных единиц.  Если из заказа удалены все 
v2_campaigns_campaignId_stats_orders.yaml	RESPONSE	result.orders[].initialItems[].prices[]	array<object>	Цена или скидки на товар.
v2_campaigns_campaignId_stats_orders.yaml	RESPONSE	result.orders[].initialItems[].warehouse	object	Информация о складе, на котором хранится товар.
v2_campaigns_campaignId_stats_orders.yaml	RESPONSE	result.orders[].initialItems[].details[]	array<object>	Информация об удалении товара из заказа.
v2_campaigns_campaignId_stats_orders.yaml	RESPONSE	result.orders[].initialItems[].cisList[]	array<string>	Список кодов идентификации товара в системе [«Честный ЗНАК»](https://честныйзнак
v2_campaigns_campaignId_stats_orders.yaml	RESPONSE	result.orders[].initialItems[].initialCount	integer	Первоначальное количество единиц товара.
